id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,prequel,related,genre1,genre2,genre3,genre4,genre5,picture,main_genre,main_anime,best_anime
37430,2018-10-02,8.14,1455899,white,tv,24,pg_13,That Time I Got Reincarnated as a Slime,False,38793 39551 39607 41488 45753 51309 55720,Action,Adventure,Comedy,Fantasy,Isekai,https://cdn.myanimelist.net/images/anime/1069/123309l.webp,Isekai,37430,39551
47778,2021-12-05,8.75,1446196,white,tv,11,r,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,True,40456 49926 51019,Action,Fantasy,Historical,Shounen,,https://cdn.myanimelist.net/images/anime/1908/120036l.jpg,Action,38000,47778
30654,2016-01-08,8.48,1441767,white,tv,25,pg_13,Assassination Classroom Second Season,True,24833 32863 33513,Action,Comedy,School,Shounen,,https://cdn.myanimelist.net/images/anime/8/77966l.jpg,Action,24833,30654
14813,2013-04-05,8.0,1440907,white,tv,13,pg_13,My Teen Romantic Comedy SNAFU,False,18753 23847,Comedy,Love Polygon,Romance,School,,https://cdn.myanimelist.net/images/anime/1786/120117l.jpg,Comedy,14813,39547
28891,2015-10-04,8.62,1439040,white,tv,25,pg_13,Haikyu!! 2nd Season,True,20583 32935 35110 35321 35806,School,Shounen,Sports,Team Sports,,https://cdn.myanimelist.net/images/anime/9/76662l.webp,Sports,20583,32935
11617,2012-01-06,7.33,1434825,white,tv,12,r+,High School DxD,False,12729 13357,Action,Comedy,Ecchi,Fantasy,Harem,https://cdn.myanimelist.net/images/anime/1331/111940l.webp,Action,11617,15451
2167,2007-10-05,7.99,1419372,white,tv,23,pg_13,Clannad,False,1723 4059 4181 6351 48775 50685,Drama,Romance,School,Supernatural,,,Drama,2167,4181
6746,2010-01-08,8.1,1412056,white,tv,24,r,Durarara!!,False,8408 23199,Action,Mystery,Supernatural,,,https://cdn.myanimelist.net/images/anime/10/71772l.jpg,Action,6746,6746
5081,2009-07-03,8.32,1405078,white,tv,15,r,Bakemonogatari,True,6948 11597 15689 30514 32268 51068 54209,Mystery,Romance,Supernatural,Vampire,,https://cdn.myanimelist.net/images/anime/11/75274l.webp,Mystery,5081,17074
31478,2016-04-07,7.81,1403802,white,tv,12,r,Bungo Stray Dogs,False,32867 42250,Action,Adult Cast,Detective,Mystery,Organized Crime,https://cdn.myanimelist.net/images/anime/3/79409l.jpg,Action,31478,54898
42897,2021-01-10,8.2,1394306,white,tv,13,pg_13,Horimiya,False,14753 54856,Romance,School,Shounen,,,https://cdn.myanimelist.net/images/anime/1695/111486l.webp,Romance,42897,42897
34599,2017-07-07,8.65,1390480,white,tv,13,r,Made in Abyss,False,36862 37514 37515,Adventure,Drama,Fantasy,Gore,Mystery,https://cdn.myanimelist.net/images/anime/6/86733l.jpg,Drama,34599,34599
12189,2012-04-23,8.06,1379135,white,tv,22,pg_13,Hyouka,False,13469,Mystery,School,Slice of Life,,,https://cdn.myanimelist.net/images/anime/13/50521l.jpg,Mystery,12189,12189
14741,2012-10-04,7.7,1361954,white,tv,12,pg_13,"Love, Chunibyo & Other Delusions!",False,15687 15879 16934 19021,Comedy,Romance,School,,,https://cdn.myanimelist.net/images/anime/1905/142840l.webp,Comedy,14741,35608
40591,2020-04-11,8.63,1350948,white,tv,12,pg_13,Kaguya-sama: Love is War Season 2,True,37999 43608 43609 44270,Comedy,Psychological,Romantic Subtext,School,Seinen,https://cdn.myanimelist.net/images/anime/1764/106659l.jpg,Comedy,37999,43608
38671,2019-07-06,7.71,1348325,white,tv,24,pg_13,Fire Force,False,40956 45999 56949,Action,Fantasy,Sci-Fi,Shounen,Super Power,https://cdn.myanimelist.net/images/anime/1664/103275l.jpg,Action,38671,40956
431,2004-11-20,8.66,1347881,white,movie,1,g,Howl's Moving Castle,False,,Adventure,Award Winning,Drama,Fantasy,Romance,https://cdn.myanimelist.net/images/anime/1470/138723l.jpg,Drama,431,431
26243,2015-04-04,7.49,1343203,white,tv,12,r,Seraph of the End: Vampire Reign,False,28927 30714 31378 31756,Action,Drama,Fantasy,Military,Shounen,https://cdn.myanimelist.net/images/anime/5/73474l.webp,Action,26243,28927
39535,2021-01-11,8.37,1334252,white,tv,11,r,Mushoku Tensei: Jobless Reincarnation,False,45576,Adventure,Drama,Ecchi,Fantasy,Isekai,https://cdn.myanimelist.net/images/anime/1530/117776l.jpg,Isekai,39535,45576
48583,2022-01-10,8.76,1306284,white,tv,12,r,Attack on Titan: Final Season Part 2,True,40028 51535,Action,Drama,Gore,Military,Shounen,https://cdn.myanimelist.net/images/anime/1948/120625l.webp,Action,16498,38524
